Name,Viewers,Budget,TVSiteID
The Pacific,2.8,22,1
Camelot,1.02,7,2
Taxi Brooklyn ,5.02,3.7,3
Spartacus: Blood and Sand,0.98,5,4
Terra Nova,7.61,4,5
Crossing Lines Season 1,2.62,3,6
Lost Season 1,15.69,4,7
Lost Season 2,15.5,4,8
Lost Season 3,15.95,4,9
Lost Season 4,13.17,4,10
Lost Season 5,10.94,4,11
Lost Season 6,10.08,4,12
Heroes Season 1,13.88,4,13
Heroes Season 2,11.45,4,14
Heroes Season 3,7.61,4,15
Heroes Season 4,5.2,4,16
Carniv¨¤le Season 1,3.54,4,17
Carniv¨¤le Season 2,1.7,4,18
The Borgias Season 1,0.84,5,19
The Borgias Season 2,0.57,5,20
The Borgias Season 3,0.61,5,21
The Walking Dead Season 1,5.24,3.4,22
The Walking Dead Season 2,6.9,2.75,23
The West Wing Season 1,9.1,6,24
The West Wing Season 2,17,6,25
The West Wing Season 3,17.2,6,26
The West Wing Season 4,13.5,6,27
The West Wing Season 5,11.8,6,28
The West Wing Season 6,11.1,6,29
The West Wing Season 7,8.1,6,30
Game of Thrones Season 1,9.3,6,31
Game of Thrones Season 2,11.6,6,32
Game of Thrones Season 3,14.2,6,33
Game of Thrones Season 4,18.6,6,34
ER Season 1,19.08,2,35
ER Season 2,21.1,2,36
ER Season 3,20.56,2,37
ER Season 4,30.2,13,38
ER Season 5,25.4,13,39
ER Season 6,24.95,13,40
ER Season 7,22.4,8,41
ER Season 8,22.1,8,42
ER Season 9,19.99,8,43
Breaking Bad Season 1,1.45,3,44
Breaking Bad Season 2,1.29,3,45
Breaking Bad Season 3,1.51,3,46
Breaking Bad Season 4,1.87,3,47
Breaking Bad Season 5,4.31,3,48
Da Vinci's Demons Season 1,0.53,3.88,49
Da Vinci's Demons Season 2,0.44,3.88,50
True Blood Season 1,2,4,51
True Blood Season 2,4.28,4,52
True Blood Season 3,4.97,4,53
True Blood Season 4,4.97,4,54
True Blood Season 5,4.67,4,55
True Blood Season 6,4.24,4,56
True Blood Season 7,3.48,4,57
CSI: Miami Season 1,17.38,3.5,58
CSI: Miami Season 2,19.17,3.5,59
CSI: Miami Season 3,20.88,3.5,60
CSI: Miami Season 4,19.04,3.5,61
CSI: Miami Season 5,17.54,3.5,62
CSI: Miami Season 6,14.89,3.5,63
CSI: Miami Season 7,14.1,3.5,64
CSI: Miami Season 8,12.62,3.5,65
CSI: Miami Season 9,10.28,3.5,66
CSI: Miami Season 10,9.85,3.5,67
Glee Season 1,9.77,3.5,68
Glee Season 2,10.11,3.5,69
Glee Season 3,8.71,3.5,70
Glee Season 4,8.26,3.5,71
Glee Season 5,4.57,3.5,72
Borgia Season 1,0.85,2.84,73
Borgia Season 2,0.57,3.27,74
Borgia Season 3,0.61,3.27,75
Arrested Development Season 1,6.16,3,76
Arrested Development Season 2,5.94,3,77
Arrested Development Season 3,3.64,3,78
Ghost Whisperer Season 1,10.2,3,79
Ghost Whisperer Season 2,9.9,3,80
Ghost Whisperer Season 3,8.67,3,81
Ghost Whisperer Season 4,10.62,3,82
Ghost Whisperer Season 5,7.78,3,83
Friends Season 10,22.8,10,84
House of Cards Season 2,6.7,4.65,85
Transporter: The Series?Season 1,2.96,3,86
Titanic: Blood and Steel,0.24,2.5,87
Mad Men Season 1,0.9,2.65,88
Mad Men Season 2,1.52,2.65,89
Mad Men Season 3,1.8,2.65,90
Mad Men Season 4,2.27,2.65,91
Mad Men Season 5,2.7,2.65,92
Mad Men Season 6,2.49,2.65,93
Mad Men Season 7 Part 1,2.01,2.65,94
Buffy the Vampire Slayer Season 5,4.4,2.3,95
Buffy the Vampire Slayer Season 6,4.6,2.3,96
Supernatural Season 1,3.81,2.1,97
Supernatural Season 2,3.14,2.1,98
Supernatural Season 3,2.74,2.1,99
Supernatural Season 4,3.14,2.1,100
Supernatural Season 5,2.64,2.1,101
Supernatural Season 6,2.42,2.1,102
Supernatural Season 7,2.03,2.1,103
Supernatural Season 8,2.52,2.1,104
Supernatural Season 9,2.81,2.1,105
